      1 NO_NORMALIZABLES	acido
      1 PROTEINAS	XLRS
      1 PROTEINAS	α-amilasa
      2 PROTEINAS	α-FTP
      2 PROTEINAS	β-HCG
      1 PROTEINAS	β-lactamasa de espectro extendido
      1 PROTEINAS	γGT
      2 UNCLEAR	ABVD
     13 UNCLEAR	alcohol
      1 UNCLEAR	BEACOPP
      3 UNCLEAR	BEP
      3 UNCLEAR	cannabis
      2 UNCLEAR	CHOP
     17 UNCLEAR	cigarrillos
      1 UNCLEAR	cigarros
      1 UNCLEAR	CMF
      1 UNCLEAR	COPP
      1 UNCLEAR	C-VAD
      7 UNCLEAR	drogas
      4 UNCLEAR	EMLA
      1 UNCLEAR	EOX
      1 UNCLEAR	FMD
      1 UNCLEAR	FOLFORI
      1 UNCLEAR	FOLFOX
      2 UNCLEAR	gluten
      2 UNCLEAR	gramíneas
      1 UNCLEAR	marihuana
      2 UNCLEAR	melanina
      1 UNCLEAR	mFOLFOX 6
      1 UNCLEAR	MOPP
      1 UNCLEAR	olivo
      1 UNCLEAR	R-CHOP
      3 UNCLEAR	tabaco
     13 UNCLEAR	tóxicos
      1 UNCLEAR	vacuna antitetánica
      1 UNCLEAR	vacuna antituberculosa
